Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9
AP5B1,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-4685-3p,,,,,,,,
TRAPPC3L,0.011111111111111072,0.231,0.692,0.26,1,hsa-miR-4483,,,,,,,,
RUVBL2,0.011111111111111072,0.231,0.692,0.26,1,hsa-miR-1185-2-3p,,,,,,,,
S100A7A,0.011111111111111072,0.231,0.692,0.26,1,hsa-miR-1290,,,,,,,,
SLC35B1,0.011111111111111072,0.231,0.692,0.26,1,hsa-miR-1470,,,,,,,,
SYNGAP1,0.011111111111111072,0.231,0.692,0.26,1,hsa-miR-6793-5p,,,,,,,,
TBC1D4,0.011111111111111072,0.231,0.692,0.26,1,hsa-miR-4456,,,,,,,,
TEDDM1,0.011111111111111072,0.231,0.692,0.26,1,hsa-miR-940,,,,,,,,
TUBB4B,0.011111111111111072,0.231,0.692,0.26,1,hsa-miR-17-3p,,,,,,,,
ANKRD12,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-342-5p,,,,,,,,
UBE3A,0.011111111111111072,0.231,0.692,0.26,1,hsa-miR-944,,,,,,,,
VTI1B,0.011111111111111072,0.231,0.692,0.26,1,hsa-miR-940,,,,,,,,
WDFY3,0.011111111111111072,0.231,0.692,0.26,1,hsa-miR-5100,,,,,,,,
ZNF225,0.011111111111111072,0.231,0.692,0.26,1,hsa-miR-1470,,,,,,,,
AFF3,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-1227-3p,,,,,,,,
AK1,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-6805-3p,,,,,,,,
LRRC41,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-6730-5p,,,,,,,,
RCC1,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-941,,,,,,,,
LYPD6,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-6805-3p,,,,,,,,
SCARF2,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-5698,,,,,,,,
CRMP1,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-5698,,,,,,,,
CYP3A5,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-504-3p,,,,,,,,
DNAJC16,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-4685-3p,,,,,,,,
EBI3,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-940,,,,,,,,
EMX1,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-1224-5p,,,,,,,,
ENG,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-342-5p,,,,,,,,
FOXO6,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-5698,,,,,,,,
GABRG1,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-1185-2-3p,,,,,,,,
