Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9
EPHA2,0.022222222222222254,0.259,0.696,0.493,2,hsa-miR-940,hsa-miR-6877-5p,,,,,,,
FOPNL,0.022222222222222254,0.266,0.699,0.502,2,hsa-miR-6780a-5p,hsa-miR-1227-3p,,,,,,,
FOXJ2,0.022222222222222254,0.266,0.699,0.502,2,hsa-miR-1185-2-3p,hsa-miR-6805-3p,,,,,,,
PDE3A,0.022222222222222254,0.431,0.704,0.727,2,hsa-miR-1224-5p,hsa-miR-6076,,,,,,,
MTX3,0.022222222222222254,0.56,0.739,0.926,2,hsa-miR-1227-3p,hsa-miR-6776-5p,,,,,,,
SCD5,0.022222222222222254,0.253,0.696,0.485,2,hsa-miR-6780a-5p,hsa-miR-6805-3p,,,,,,,
RBM4B,0.022222222222222254,0.431,0.704,0.727,2,hsa-miR-941,hsa-miR-17-3p,,,,,,,
HSPA6,0.022222222222222254,0.259,0.696,0.493,2,hsa-miR-31-3p,hsa-miR-941,,,,,,,
PTGIS,0.022222222222222254,0.431,0.704,0.727,2,hsa-miR-4685-3p,hsa-miR-3652,,,,,,,
RUNDC1,0.022222222222222254,0.253,0.696,0.485,2,hsa-miR-4685-3p,hsa-miR-504-3p,,,,,,,
RHOF,0.022222222222222254,0.259,0.696,0.493,2,hsa-miR-6780a-5p,hsa-miR-4483,,,,,,,
PTBP2,0.022222222222222254,0.425,0.704,0.719,2,hsa-miR-6743-3p,hsa-miR-940,,,,,,,
SPRED1,0.022222222222222254,0.61,0.752,1.01,2,hsa-miR-31-3p,hsa-miR-646,,,,,,,
SIX3,0.022222222222222254,0.259,0.696,0.493,2,hsa-miR-4472,hsa-miR-5698,,,,,,,
ZNF107,0.022222222222222254,0.61,0.752,1.01,2,hsa-miR-6741-5p,hsa-miR-4483,,,,,,,
PSME3,0.022222222222222254,0.437,0.704,0.736,2,hsa-miR-5698,hsa-miR-6780a-5p,,,,,,,
PLA2G2C,0.022222222222222254,0.259,0.696,0.493,2,hsa-miR-4472,hsa-miR-7110-5p,,,,,,,
PIN1,0.022222222222222254,0.253,0.696,0.485,2,hsa-miR-4472,hsa-miR-5698,,,,,,,
ZNF431,0.022222222222222254,0.712,0.789,1.22,2,hsa-miR-941,hsa-miR-504-3p,,,,,,,
THSD4,0.022222222222222254,0.253,0.696,0.485,2,hsa-miR-4472,hsa-miR-5698,,,,,,,
PI4K2B,0.022222222222222254,0.253,0.696,0.485,2,hsa-miR-646,hsa-miR-1470,,,,,,,
MOCS3,0.022222222222222254,0.259,0.696,0.493,2,hsa-miR-6780a-5p,hsa-miR-6743-3p,,,,,,,
MANSC1,0.022222222222222254,0.253,0.696,0.485,2,hsa-miR-940,hsa-miR-6780a-5p,,,,,,,
TRMT2B,0.022222222222222254,0.259,0.696,0.493,2,hsa-miR-940,hsa-miR-6776-5p,,,,,,,
PXMP4,0.022222222222222254,0.425,0.704,0.719,2,hsa-miR-3652,hsa-miR-504-3p,,,,,,,
SNRPD1,0.022222222222222254,0.715,0.791,1.23,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
POLR2D,0.022222222222222254,0.425,0.704,0.719,2,hsa-miR-3652,hsa-miR-504-3p,,,,,,,
ZNF449,0.022222222222222254,0.253,0.696,0.485,2,hsa-miR-944,hsa-miR-646,,,,,,,
SP1,0.022222222222222254,0.715,0.791,1.23,2,hsa-miR-31-3p,hsa-miR-4685-3p,,,,,,,
RAN,0.022222222222222254,0.4,0.704,0.684,2,hsa-miR-31-3p,hsa-miR-944,,,,,,,
SRD5A1,0.022222222222222254,0.279,0.7,0.519,2,hsa-miR-4685-3p,hsa-miR-1470,,,,,,,
KLHL12,0.022222222222222254,0.253,0.696,0.485,2,hsa-miR-4685-3p,hsa-miR-4472,,,,,,,
RAPGEF1,0.022222222222222254,0.4,0.704,0.684,2,hsa-miR-4685-3p,hsa-miR-185-3p,,,,,,,
IGSF8,0.022222222222222254,0.259,0.696,0.493,2,hsa-miR-6780a-5p,hsa-miR-6877-5p,,,,,,,
AGXT2,0.022222222222222254,0.266,0.699,0.502,2,hsa-miR-940,hsa-miR-6780a-5p,,,,,,,
SVOP,0.022222222222222254,0.56,0.739,0.926,2,hsa-miR-1202,hsa-miR-1470,,,,,,,
ANAPC16,0.022222222222222254,0.266,0.699,0.502,2,hsa-miR-6730-5p,hsa-miR-4443,,,,,,,
PPTC7,0.022222222222222254,0.412,0.704,0.701,2,hsa-miR-646,hsa-miR-6780a-5p,,,,,,,
ACTB,0.022222222222222254,0.56,0.739,0.926,2,hsa-miR-5572,hsa-miR-5698,,,,,,,
CARM1,0.022222222222222254,0.259,0.696,0.493,2,hsa-miR-6877-5p,hsa-miR-940,,,,,,,
RNF149,0.022222222222222254,0.406,0.704,0.693,2,hsa-miR-646,hsa-miR-944,,,,,,,
XRCC6,0.022222222222222254,0.431,0.704,0.727,2,hsa-miR-941,hsa-miR-6780a-5p,,,,,,,
ATF7IP,0.022222222222222254,0.55,0.738,0.909,2,hsa-miR-320b,hsa-miR-1227-3p,,,,,,,
WNT7B,0.022222222222222254,0.4,0.704,0.684,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
METTL8,0.022222222222222254,0.55,0.738,0.909,2,hsa-miR-6741-5p,hsa-miR-6776-5p,,,,,,,
NR2F6,0.022222222222222254,0.55,0.738,0.909,2,hsa-miR-940,hsa-miR-6776-5p,,,,,,,
CCR6,0.022222222222222254,0.227,0.692,0.45,2,hsa-miR-3652,hsa-miR-504-3p,,,,,,,
PER1,0.022222222222222254,0.55,0.738,0.909,2,hsa-miR-1290,hsa-miR-5572,,,,,,,
SLC35E2,0.022222222222222254,0.55,0.738,0.909,2,hsa-miR-940,hsa-miR-6780a-5p,,,,,,,
TNRC6C,0.022222222222222254,0.343,0.7,0.606,2,hsa-miR-320b,hsa-miR-320d,,,,,,,
CHEK1,0.022222222222222254,0.227,0.692,0.45,2,hsa-miR-1227-3p,hsa-miR-646,,,,,,,
CPSF7,0.022222222222222254,0.227,0.692,0.45,2,hsa-miR-4483,hsa-miR-5698,,,,,,,
TMEM170A,0.022222222222222254,0.55,0.738,0.909,2,hsa-miR-1470,hsa-miR-940,,,,,,,
ERCC6L2,0.022222222222222254,0.227,0.692,0.45,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
TNPO3,0.022222222222222254,0.318,0.7,0.571,2,hsa-miR-6776-5p,hsa-miR-940,,,,,,,
USF3,0.022222222222222254,0.4,0.704,0.684,2,hsa-miR-1185-2-3p,hsa-miR-6776-5p,,,,,,,
MSANTD4,0.022222222222222254,0.747,0.808,1.31,2,hsa-miR-5698,hsa-miR-940,,,,,,,
UBE2Z,0.022222222222222254,0.4,0.704,0.684,2,hsa-miR-4472,hsa-miR-5698,,,,,,,
TSC22D2,0.022222222222222254,0.744,0.806,1.3,2,hsa-miR-1227-3p,hsa-miR-646,,,,,,,
TRIM72,0.022222222222222254,0.744,0.806,1.3,2,hsa-miR-4443,hsa-miR-6780a-5p,,,,,,,
TRIM28,0.022222222222222254,0.311,0.7,0.563,2,hsa-miR-6819-5p,hsa-miR-342-5p,,,,,,,
RAB36,0.022222222222222254,0.227,0.692,0.45,2,hsa-miR-940,hsa-miR-6780a-5p,,,,,,,
TSPAN14,0.022222222222222254,0.406,0.704,0.693,2,hsa-miR-5698,hsa-miR-940,,,,,,,
GAPVD1,0.022222222222222254,0.555,0.739,0.918,2,hsa-miR-6780a-5p,hsa-miR-1224-5p,,,,,,,
TMPPE,0.022222222222222254,0.418,0.704,0.71,2,hsa-miR-1227-3p,hsa-miR-17-3p,,,,,,,
TMEM170B,0.022222222222222254,0.227,0.692,0.45,2,hsa-miR-4685-3p,hsa-miR-1470,,,,,,,
USP53,0.022222222222222254,0.227,0.692,0.45,2,hsa-miR-4456,hsa-miR-646,,,,,,,
TBXA2R,0.022222222222222254,0.418,0.704,0.71,2,hsa-miR-6780a-5p,hsa-miR-5698,,,,,,,
TRAPPC2B,0.022222222222222254,0.22,0.69,0.442,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
NGFR,0.022222222222222254,0.22,0.69,0.442,2,hsa-miR-7110-5p,hsa-miR-5698,,,,,,,
KIAA1210,0.022222222222222254,0.22,0.69,0.442,2,hsa-miR-6780a-5p,hsa-miR-6776-5p,,,,,,,
ZNF607,0.022222222222222254,0.425,0.704,0.719,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
MAP2K3,0.022222222222222254,0.214,0.687,0.433,2,hsa-miR-4456,hsa-miR-6877-5p,,,,,,,
MTRNR2L1,0.022222222222222254,0.214,0.687,0.433,2,hsa-miR-5100,hsa-miR-1470,,,,,,,
PABPC1,0.022222222222222254,0.208,0.687,0.424,2,hsa-miR-1227-3p,hsa-miR-17-3p,,,,,,,
PFAS,0.022222222222222254,0.214,0.687,0.433,2,hsa-miR-6877-5p,hsa-miR-940,,,,,,,
NF2,0.022222222222222254,0.544,0.737,0.9,2,hsa-miR-185-3p,hsa-miR-940,,,,,,,
CCSER2,0.022222222222222254,0.449,0.707,0.753,2,hsa-miR-495-5p,hsa-miR-5698,,,,,,,
SLFN12L,0.022222222222222254,0.544,0.737,0.9,2,hsa-miR-940,hsa-miR-6780a-5p,,,,,,,
SMU1,0.022222222222222254,0.544,0.737,0.9,2,hsa-miR-6743-3p,hsa-miR-940,,,,,,,
PTGES3L,0.022222222222222254,0.208,0.687,0.424,2,hsa-miR-940,hsa-miR-4483,,,,,,,
PTP4A2,0.022222222222222254,0.214,0.687,0.433,2,hsa-miR-320b,hsa-miR-495-5p,,,,,,,
SCNM1,0.022222222222222254,0.208,0.687,0.424,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
ZNRF2,0.022222222222222254,0.418,0.704,0.71,2,hsa-miR-6776-5p,hsa-miR-646,,,,,,,
SNTN,0.022222222222222254,0.214,0.687,0.433,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
IFFO2,0.022222222222222254,0.22,0.69,0.442,2,hsa-miR-1224-5p,hsa-miR-940,,,,,,,
TMEM151A,0.022222222222222254,0.214,0.687,0.433,2,hsa-miR-940,hsa-miR-4685-3p,,,,,,,
TM9SF3,0.022222222222222254,0.544,0.737,0.9,2,hsa-miR-4472,hsa-miR-7110-5p,,,,,,,
USP48,0.022222222222222254,0.214,0.687,0.433,2,hsa-miR-646,hsa-miR-1290,,,,,,,
ZC3H4,0.022222222222222254,0.208,0.687,0.424,2,hsa-miR-940,hsa-miR-1224-5p,,,,,,,
ZBTB33,0.022222222222222254,0.431,0.704,0.727,2,hsa-miR-320b,hsa-miR-320d,,,,,,,
ZYG11A,0.022222222222222254,0.544,0.737,0.9,2,hsa-miR-6780a-5p,hsa-miR-1227-3p,,,,,,,
ADD2,0.022222222222222254,0.22,0.69,0.442,2,hsa-miR-940,hsa-miR-1290,,,,,,,
BCL11B,0.022222222222222254,0.22,0.69,0.442,2,hsa-miR-944,hsa-miR-1470,,,,,,,
CAMK2N1,0.022222222222222254,0.22,0.69,0.442,2,hsa-miR-1224-5p,hsa-miR-495-5p,,,,,,,
COLGALT1,0.022222222222222254,0.22,0.69,0.442,2,hsa-miR-4769-5p,hsa-miR-4489,,,,,,,
DDX19A,0.022222222222222254,0.22,0.69,0.442,2,hsa-miR-6780a-5p,hsa-miR-6877-5p,,,,,,,
DNAH17,0.022222222222222254,0.22,0.69,0.442,2,hsa-miR-6780a-5p,hsa-miR-17-3p,,,,,,,
BCL7B,0.022222222222222254,0.233,0.693,0.459,2,hsa-miR-320d,hsa-miR-320b,,,,,,,
DUSP4,0.022222222222222254,0.233,0.693,0.459,2,hsa-miR-4685-3p,hsa-miR-6780a-5p,,,,,,,
KIAA0754,0.022222222222222254,0.233,0.693,0.459,2,hsa-miR-516a-5p,hsa-miR-6780a-5p,,,,,,,
GEN1,0.022222222222222254,0.246,0.694,0.476,2,hsa-miR-6780a-5p,hsa-miR-6076,,,,,,,
SBF1,0.022222222222222254,0.431,0.704,0.727,2,hsa-miR-185-3p,hsa-miR-940,,,,,,,
TIPIN,0.022222222222222254,0.24,0.693,0.467,2,hsa-miR-940,hsa-miR-1227-3p,,,,,,,
TECPR2,0.022222222222222254,0.337,0.7,0.597,2,hsa-miR-4685-3p,hsa-miR-1470,,,,,,,
TTL,0.022222222222222254,0.318,0.7,0.571,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
RAB32,0.022222222222222254,0.61,0.752,1.01,2,hsa-miR-1227-3p,hsa-miR-4769-5p,,,,,,,
CDKN1B,0.022222222222222254,0.73,0.799,1.26,2,hsa-miR-4685-3p,hsa-miR-1185-2-3p,,,,,,,
SUGT1,0.022222222222222254,0.726,0.798,1.26,2,hsa-miR-5100,hsa-miR-6780a-5p,,,,,,,
STYX,0.022222222222222254,0.324,0.7,0.58,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
FAM71F2,0.022222222222222254,0.726,0.798,1.26,2,hsa-miR-504-3p,hsa-miR-6780a-5p,,,,,,,
STX7,0.022222222222222254,0.356,0.7,0.623,2,hsa-miR-940,hsa-miR-1185-2-3p,,,,,,,
UBE2B,0.022222222222222254,0.356,0.7,0.623,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
ANKRD45,0.022222222222222254,0.246,0.694,0.476,2,hsa-miR-7110-5p,hsa-miR-4456,,,,,,,
GNE,0.022222222222222254,0.246,0.694,0.476,2,hsa-miR-5698,hsa-miR-940,,,,,,,
CREB1,0.022222222222222254,0.56,0.739,0.926,2,hsa-miR-1185-2-3p,hsa-miR-1224-5p,,,,,,,
STRIP2,0.022222222222222254,0.356,0.7,0.623,2,hsa-miR-944,hsa-miR-6780a-5p,,,,,,,
IGFBP4,0.022222222222222254,0.246,0.694,0.476,2,hsa-miR-7110-5p,hsa-miR-4472,,,,,,,
LETM1,0.022222222222222254,0.246,0.694,0.476,2,hsa-miR-940,hsa-miR-6776-5p,,,,,,,
RETSAT,0.022222222222222254,0.246,0.694,0.476,2,hsa-miR-4685-3p,hsa-miR-1470,,,,,,,
SINHCAF,0.022222222222222254,0.246,0.694,0.476,2,hsa-miR-940,hsa-miR-495-5p,,,,,,,
TPM4,0.022222222222222254,0.246,0.694,0.476,2,hsa-miR-940,hsa-miR-1290,,,,,,,
ZC3H12B,0.022222222222222254,0.246,0.694,0.476,2,hsa-miR-7110-5p,hsa-miR-1227-3p,,,,,,,
ADAR,0.022222222222222254,0.259,0.696,0.493,2,hsa-miR-6780a-5p,hsa-miR-3652,,,,,,,
ARSE,0.022222222222222254,0.253,0.696,0.485,2,hsa-miR-4685-3p,hsa-miR-1470,,,,,,,
STK38,0.022222222222222254,0.318,0.7,0.571,2,hsa-miR-5698,hsa-miR-6780a-5p,,,,,,,
ATP6AP1L,0.022222222222222254,0.259,0.696,0.493,2,hsa-miR-1470,hsa-miR-4685-3p,,,,,,,
BCL10,0.022222222222222254,0.253,0.696,0.485,2,hsa-miR-495-5p,hsa-miR-6780a-5p,,,,,,,
TFAP2A,0.022222222222222254,0.292,0.7,0.537,2,hsa-miR-646,hsa-miR-4685-3p,,,,,,,
TRIOBP,0.022222222222222254,0.356,0.7,0.623,2,hsa-miR-6741-5p,hsa-miR-4443,,,,,,,
NUP43,0.022222222222222254,0.233,0.693,0.459,2,hsa-miR-31-3p,hsa-miR-6780a-5p,,,,,,,
SH3PXD2A,0.022222222222222254,0.555,0.739,0.918,2,hsa-miR-4685-3p,hsa-miR-1470,,,,,,,
RMND5A,0.022222222222222254,0.233,0.693,0.459,2,hsa-miR-17-3p,hsa-miR-6805-3p,,,,,,,
TMEM30B,0.022222222222222254,0.305,0.7,0.554,2,hsa-miR-1224-5p,hsa-miR-6741-5p,,,,,,,
TRIM44,0.022222222222222254,0.318,0.7,0.571,2,hsa-miR-7110-5p,hsa-miR-5698,,,,,,,
RPS16,0.022222222222222254,0.233,0.693,0.459,2,hsa-miR-17-3p,hsa-miR-1185-2-3p,,,,,,,
SPAST,0.022222222222222254,0.233,0.693,0.459,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
THRB,0.022222222222222254,0.233,0.693,0.459,2,hsa-miR-320b,hsa-miR-320d,,,,,,,
ZNF148,0.022222222222222254,0.233,0.693,0.459,2,hsa-miR-320d,hsa-miR-320b,,,,,,,
ZNF267,0.022222222222222254,0.233,0.693,0.459,2,hsa-miR-320d,hsa-miR-320b,,,,,,,
ZNF555,0.022222222222222254,0.233,0.693,0.459,2,hsa-miR-940,hsa-miR-6776-5p,,,,,,,
ALDH6A1,0.022222222222222254,0.24,0.693,0.467,2,hsa-miR-3652,hsa-miR-6776-5p,,,,,,,
SYT7,0.022222222222222254,0.394,0.704,0.675,2,hsa-miR-6743-3p,hsa-miR-940,,,,,,,
BACH2,0.022222222222222254,0.24,0.693,0.467,2,hsa-miR-6076,hsa-miR-4685-3p,,,,,,,
CD209,0.022222222222222254,0.24,0.693,0.467,2,hsa-miR-495-5p,hsa-miR-940,,,,,,,
RMDN1,0.022222222222222254,0.24,0.693,0.467,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
TM4SF1,0.022222222222222254,0.343,0.7,0.606,2,hsa-miR-495-5p,hsa-miR-4483,,,,,,,
TIMELESS,0.022222222222222254,0.279,0.7,0.519,2,hsa-miR-320b,hsa-miR-940,,,,,,,
RAD51,0.022222222222222254,0.733,0.801,1.27,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
SPATA5,0.022222222222222254,0.4,0.704,0.684,2,hsa-miR-6780a-5p,hsa-miR-4483,,,,,,,
GNAI3,0.022222222222222254,0.24,0.693,0.467,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
GP5,0.022222222222222254,0.24,0.693,0.467,2,hsa-miR-5698,hsa-miR-6780a-5p,,,,,,,
THRA,0.022222222222222254,0.35,0.7,0.615,2,hsa-miR-5698,hsa-miR-185-3p,,,,,,,
HIST2H2AA3,0.022222222222222254,0.24,0.693,0.467,2,hsa-miR-940,hsa-miR-4483,,,,,,,
TFRC,0.022222222222222254,0.324,0.7,0.58,2,hsa-miR-1227-3p,hsa-miR-17-3p,,,,,,,
BAZ2A,0.022222222222222254,0.56,0.739,0.926,2,hsa-miR-1202,hsa-miR-940,,,,,,,
SLC7A1,0.022222222222222254,0.394,0.704,0.675,2,hsa-miR-185-3p,hsa-miR-4489,,,,,,,
PLEKHG5,0.022222222222222254,0.24,0.693,0.467,2,hsa-miR-4313,hsa-miR-4443,,,,,,,
GRIN2B,0.022222222222222254,0.266,0.699,0.502,2,hsa-miR-495-5p,hsa-miR-1470,,,,,,,
GGCX,0.022222222222222254,0.7,0.784,1.19,2,hsa-miR-940,hsa-miR-6780a-5p,,,,,,,
SLC38A2,0.022222222222222254,0.369,0.7,0.641,2,hsa-miR-320d,hsa-miR-320b,,,,,,,
PPM1K,0.022222222222222254,0.356,0.7,0.623,2,hsa-miR-1227-3p,hsa-miR-6776-5p,,,,,,,
BCL9L,0.022222222222222254,0.412,0.704,0.701,2,hsa-miR-320b,hsa-miR-4456,,,,,,,
TMEM167A,0.022222222222222254,0.633,0.761,1.06,2,hsa-miR-6730-5p,hsa-miR-6780a-5p,,,,,,,
ZNF619,0.022222222222222254,0.311,0.7,0.563,2,hsa-miR-4685-3p,hsa-miR-4443,,,,,,,
BAG4,0.022222222222222254,0.406,0.704,0.693,2,hsa-miR-646,hsa-miR-1202,,,,,,,
B3GALT5,0.022222222222222254,0.394,0.704,0.675,2,hsa-miR-6780a-5p,hsa-miR-5100,,,,,,,
ATXN1L,0.022222222222222254,0.418,0.704,0.71,2,hsa-miR-1185-2-3p,hsa-miR-940,,,,,,,
BRI3BP,0.022222222222222254,0.637,0.763,1.06,2,hsa-miR-1290,hsa-miR-6780a-5p,,,,,,,
PPP2CA,0.022222222222222254,0.356,0.7,0.623,2,hsa-miR-185-3p,hsa-miR-4489,,,,,,,
ZNF644,0.022222222222222254,0.279,0.7,0.519,2,hsa-miR-4685-3p,hsa-miR-1470,,,,,,,
FAHD1,0.022222222222222254,0.59,0.748,0.978,2,hsa-miR-1227-3p,hsa-miR-6780a-5p,,,,,,,
ATP5A1,0.022222222222222254,0.437,0.704,0.736,2,hsa-miR-6877-5p,hsa-miR-4769-5p,,,,,,,
ARL8A,0.022222222222222254,0.425,0.704,0.719,2,hsa-miR-7110-5p,hsa-miR-6877-5p,,,,,,,
TOR1AIP2,0.022222222222222254,0.659,0.771,1.11,2,hsa-miR-940,hsa-miR-6780a-5p,,,,,,,
LRIG2,0.022222222222222254,0.59,0.748,0.978,2,hsa-miR-6780a-5p,hsa-miR-5698,,,,,,,
ZNF681,0.022222222222222254,0.331,0.7,0.589,2,hsa-miR-940,hsa-miR-6780a-5p,,,,,,,
PLCG2,0.022222222222222254,0.318,0.7,0.571,2,hsa-miR-6819-5p,hsa-miR-342-5p,,,,,,,
ZNF689,0.022222222222222254,0.298,0.7,0.545,2,hsa-miR-185-3p,hsa-miR-4489,,,,,,,
ARID5B,0.022222222222222254,0.394,0.704,0.675,2,hsa-miR-320b,hsa-miR-320d,,,,,,,
AQP6,0.022222222222222254,0.394,0.704,0.675,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
ZNF770,0.022222222222222254,0.324,0.7,0.58,2,hsa-miR-940,hsa-miR-6780a-5p,,,,,,,
ZNRF3,0.022222222222222254,0.279,0.7,0.519,2,hsa-miR-940,hsa-miR-646,,,,,,,
ALG10B,0.022222222222222254,0.394,0.704,0.675,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
KIAA1958,0.022222222222222254,0.285,0.7,0.528,2,hsa-miR-1470,hsa-miR-1202,,,,,,,
POLD3,0.022222222222222254,0.285,0.7,0.528,2,hsa-miR-4472,hsa-miR-5698,,,,,,,
PODXL,0.022222222222222254,0.337,0.7,0.597,2,hsa-miR-3652,hsa-miR-4456,,,,,,,
KLHL23,0.022222222222222254,0.318,0.7,0.571,2,hsa-miR-4443,hsa-miR-940,,,,,,,
KLHL26,0.022222222222222254,0.279,0.7,0.519,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
KLLN,0.022222222222222254,0.324,0.7,0.58,2,hsa-miR-940,hsa-miR-6780a-5p,,,,,,,
PLEKHB2,0.022222222222222254,0.369,0.7,0.641,2,hsa-miR-31-3p,hsa-miR-6780a-5p,,,,,,,
ZSWIM1,0.022222222222222254,0.343,0.7,0.606,2,hsa-miR-940,hsa-miR-4483,,,,,,,
SMC1A,0.022222222222222254,0.633,0.761,1.06,2,hsa-miR-342-5p,hsa-miR-6780a-5p,,,,,,,
HRK,0.022222222222222254,0.318,0.7,0.571,2,hsa-miR-4685-3p,hsa-miR-1470,,,,,,,
SERBP1,0.022222222222222254,0.633,0.761,1.06,2,hsa-miR-4443,hsa-miR-5698,,,,,,,
HOXB6,0.022222222222222254,0.375,0.7,0.649,2,hsa-miR-5572,hsa-miR-7110-5p,,,,,,,
ZNF440,0.022222222222222254,0.337,0.7,0.597,2,hsa-miR-6805-3p,hsa-miR-940,,,,,,,
KLHL21,0.022222222222222254,0.633,0.761,1.06,2,hsa-miR-6780a-5p,hsa-miR-1470,,,,,,,
CNOT6L,0.022222222222222254,0.412,0.704,0.701,2,hsa-miR-6076,hsa-miR-646,,,,,,,
FBXL20,0.022222222222222254,0.356,0.7,0.623,2,hsa-miR-6805-3p,hsa-miR-17-3p,,,,,,,
QDPR,0.022222222222222254,0.305,0.7,0.554,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
FBXO48,0.022222222222222254,0.292,0.7,0.537,2,hsa-miR-4313,hsa-miR-6780a-5p,,,,,,,
TRIM65,0.022222222222222254,0.6,0.749,0.996,2,hsa-miR-6780a-5p,hsa-miR-4443,,,,,,,
CHST6,0.022222222222222254,0.412,0.704,0.701,2,hsa-miR-5698,hsa-miR-1227-3p,,,,,,,
CHAF1B,0.022222222222222254,0.4,0.704,0.684,2,hsa-miR-6741-5p,hsa-miR-6793-5p,,,,,,,
FURIN,0.022222222222222254,0.343,0.7,0.606,2,hsa-miR-6076,hsa-miR-6780a-5p,,,,,,,
FUT10,0.022222222222222254,0.324,0.7,0.58,2,hsa-miR-6730-5p,hsa-miR-4456,,,,,,,
FZR1,0.022222222222222254,0.279,0.7,0.519,2,hsa-miR-940,hsa-miR-4483,,,,,,,
GABRB1,0.022222222222222254,0.35,0.7,0.615,2,hsa-miR-31-3p,hsa-miR-940,,,,,,,
CCNG1,0.022222222222222254,0.412,0.704,0.701,2,hsa-miR-17-3p,hsa-miR-6776-5p,,,,,,,
ARL5B,0.022222222222222254,0.668,0.773,1.13,2,hsa-miR-504-3p,hsa-miR-6780a-5p,,,,,,,
ZNF566,0.022222222222222254,0.664,0.771,1.12,2,hsa-miR-944,hsa-miR-940,,,,,,,
GNS,0.022222222222222254,0.305,0.7,0.554,2,hsa-miR-495-5p,hsa-miR-940,,,,,,,
GPBP1,0.022222222222222254,0.311,0.7,0.563,2,hsa-miR-6780a-5p,hsa-miR-646,,,,,,,
CBX2,0.022222222222222254,0.406,0.704,0.693,2,hsa-miR-646,hsa-miR-940,,,,,,,
GTDC1,0.022222222222222254,0.298,0.7,0.545,2,hsa-miR-4685-3p,hsa-miR-1470,,,,,,,
PTPDC1,0.022222222222222254,0.324,0.7,0.58,2,hsa-miR-31-3p,hsa-miR-504-3p,,,,,,,
HACD2,0.022222222222222254,0.337,0.7,0.597,2,hsa-miR-5698,hsa-miR-940,,,,,,,
PTDSS2,0.022222222222222254,0.305,0.7,0.554,2,hsa-miR-185-3p,hsa-miR-3652,,,,,,,
CALHM5,0.022222222222222254,0.431,0.704,0.727,2,hsa-miR-4685-3p,hsa-miR-6805-3p,,,,,,,
HBP1,0.022222222222222254,0.337,0.7,0.597,2,hsa-miR-17-3p,hsa-miR-4443,,,,,,,
ACOX1,0.022222222222222254,0.59,0.748,0.978,2,hsa-miR-4472,hsa-miR-4483,,,,,,,
HINT1,0.022222222222222254,0.285,0.7,0.528,2,hsa-miR-944,hsa-miR-6780a-5p,,,,,,,
HIST1H2AG,0.022222222222222254,0.311,0.7,0.563,2,hsa-miR-4483,hsa-miR-940,,,,,,,
CSNK2A1,0.022222222222222254,0.59,0.748,0.978,2,hsa-miR-4685-3p,hsa-miR-646,,,,,,,
PLD3,0.022222222222222254,0.311,0.7,0.563,2,hsa-miR-4472,hsa-miR-7110-5p,,,,,,,
PLCE1,0.022222222222222254,0.35,0.7,0.615,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
NHS,0.022222222222222254,0.394,0.704,0.675,2,hsa-miR-495-5p,hsa-miR-6076,,,,,,,
MYO18A,0.022222222222222254,0.35,0.7,0.615,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
RAB1B,0.022222222222222254,0.388,0.703,0.667,2,hsa-miR-6780a-5p,hsa-miR-7110-5p,,,,,,,
PRICKLE1,0.022222222222222254,0.388,0.703,0.667,2,hsa-miR-4769-5p,hsa-miR-6780a-5p,,,,,,,
SESN3,0.022222222222222254,0.651,0.768,1.09,2,hsa-miR-5100,hsa-miR-1185-2-3p,,,,,,,
PMPCA,0.022222222222222254,0.381,0.703,0.658,2,hsa-miR-6780a-5p,hsa-miR-4483,,,,,,,
MSL2,0.022222222222222254,0.292,0.7,0.537,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
DCTN6,0.022222222222222254,0.595,0.749,0.987,2,hsa-miR-6805-3p,hsa-miR-940,,,,,,,
EFNB1,0.022222222222222254,0.388,0.703,0.667,2,hsa-miR-4472,hsa-miR-7110-5p,,,,,,,
